Clique0	9	4	5	5	5	4	5	6	4	4	6	7	6	5	5	4	4	5	4	6	7	7	7	7	7	3	4	3	4	3	4	4	5	3	3	2	3	5	4	5	5	3	5	4	4	5	3	4	4	3	6	6	5	5	4	4	5	4	5	4	5	5	3	3	3	4	2	2	3	2	4	3	3	3	4	4	4	3	3	6	5	5	4	2	3	2	3	3	3	4	4	3	3	2	1	4	3	2	2	2	2	3	3	3	3	4	2	1	2	3	3	3	4	2	2	2	2	4	3	2	2	2	3	3	3	4	3	3	3	4	3	1	2	1	2	3	2	3	2	3	2	2	4	5	3	3	3	2	2	3	2	2	2	3	3	2	3	2	1	4	4	4	4	5	3	4	3	4	3	2	3	3	3	3	1	2	2	3	3	2	2	2	2	3	3	2	1	2	2	2	3	2	3	4	2	1	4	3	2	2	2	3	2	2	2	3	3	3	2	3	1	2	3	1	2	0	1	2	3	2	1	2	2	3	2	3	3	2	1	2	3	2	3	4	4	3	3	2	2	3	3	3	2	1	2	2	3	1	2	2	2	1	2	2	1	3	1	2	2	1	2	2	1	2	2	2	2	2	1	3	2	1	1	3	3	3	2	1	0	1	1	1	2	1	3	4	2	2	2	1	1	3	2	2	2	1	1	1	1	1	2	1	1	0	1	2	1	2	1	1	1	1	2	2	1	2	3	4	2	2	3	2	1	2	3	3	2	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	2	1	1	1	0	0	1	3	1	1	1	0	1	1	1	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	2	0	2	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0
Clique1	4	9	8	7	8	6	7	7	6	6	5	4	5	6	3	3	3	4	3	6	5	4	5	4	4	3	5	5	4	5	6	5	6	7	4	4	4	4	3	4	3	5	5	4	3	4	3	4	3	3	4	2	3	3	4	2	4	3	4	3	4	2	2	3	3	2	2	3	4	3	2	2	3	3	3	3	3	3	4	4	4	4	4	6	5	6	5	5	4	4	4	5	4	2	2	4	2	4	3	2	2	4	4	2	3	4	3	2	2	3	3	3	2	3	3	2	3	3	4	3	3	3	4	4	2	3	3	3	4	3	3	2	3	2	3	3	2	2	2	3	3	3	2	2	3	3	4	4	5	2	4	3	2	2	2	1	2	2	1	2	2	2	3	3	2	2	2	3	3	1	3	3	2	2	1	4	2	3	2	2	3	1	1	2	2	1	1	2	1	1	2	2	2	2	3	2	3	4	3	3	3	2	3	3	3	3	2	2	2	3	2	2	2	2	3	0	1	1	2	1	1	2	3	4	2	3	3	3	2	1	4	2	2	3	4	2	2	2	3	3	4	3	2	2	2	2	2	1	1	2	2	1	1	1	1	4	1	2	1	2	3	3	1	1	1	3	3	1	1	2	3	2	3	2	3	4	3	2	0	1	0	1	2	1	3	3	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	0	0	1	1	3	1	1	1	2	2	3	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0	1	0	0	1	2	0	0	1	1	0	1	0	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	2	1	1	1	1	1	0	1	0	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique2	5	8	9	7	7	6	7	8	6	5	4	5	6	5	3	3	3	4	3	5	6	4	4	4	5	3	5	6	5	5	6	5	6	7	4	4	4	4	3	4	3	5	5	4	3	4	3	4	3	3	4	3	2	4	3	2	4	3	4	3	4	3	2	4	3	3	2	3	4	3	2	2	3	3	3	3	3	3	4	4	4	4	4	5	6	5	4	4	4	5	5	5	4	2	2	5	3	4	3	2	2	4	4	2	3	5	3	2	2	3	3	2	3	2	3	2	3	3	4	3	3	3	4	4	2	3	3	3	3	4	4	2	3	2	3	3	2	3	3	4	3	3	2	3	4	4	5	3	4	2	4	3	2	2	2	1	2	2	1	2	2	2	3	3	2	2	2	3	3	1	3	3	2	2	1	3	2	2	2	2	2	1	1	2	3	2	1	2	1	1	2	2	2	2	3	2	3	4	3	3	3	2	3	3	3	3	3	3	2	3	2	2	3	2	3	0	1	1	2	1	1	2	3	4	2	3	3	3	2	1	4	2	3	3	4	2	2	2	3	3	4	3	2	2	2	2	2	1	1	2	2	1	1	1	1	4	1	2	2	2	3	3	1	2	2	3	3	1	1	2	3	2	3	2	3	4	3	2	0	1	0	1	2	1	3	3	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	0	0	1	1	3	1	1	1	2	3	4	2	3	2	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0	1	0	0	1	2	0	0	1	1	0	1	0	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	2	1	1	1	1	1	0	1	0	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique3	5	7	7	9	8	7	8	8	8	6	5	5	4	4	4	3	3	4	3	4	4	6	5	5	5	4	6	4	5	5	6	6	7	6	5	4	5	5	5	6	5	6	6	5	4	5	4	5	3	3	5	3	3	2	2	3	5	5	6	4	5	3	3	2	4	3	2	4	5	4	3	3	4	3	4	4	4	3	4	5	5	5	4	4	4	4	5	5	5	5	5	5	5	3	2	5	3	4	3	3	2	4	4	3	4	4	3	2	3	4	4	3	3	3	4	3	4	4	5	4	4	4	5	4	2	4	4	5	4	4	3	2	3	3	4	4	3	3	2	3	3	3	3	3	3	2	3	2	3	3	5	3	3	3	2	2	3	2	1	3	3	4	4	3	3	2	2	4	4	2	3	3	3	4	1	2	3	3	3	3	3	2	2	3	2	1	1	3	2	2	3	3	3	3	3	2	4	5	4	4	3	3	4	3	3	4	3	3	3	4	2	3	3	2	3	0	1	2	3	2	1	2	3	4	2	3	4	4	3	2	4	3	2	4	4	3	3	3	3	3	4	3	3	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	3	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	3	2	1	2	3	2	2	3	1	1	1	1	1	2	1	2	0	1	2	1	3	1	1	1	2	2	3	2	2	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	1	0	1	1	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0
Clique4	5	8	7	8	9	7	8	8	7	7	6	5	4	5	4	3	3	4	3	5	4	5	6	5	5	4	6	4	5	5	6	6	7	6	5	4	5	5	4	5	4	5	6	5	4	5	4	5	3	3	5	3	4	2	3	3	5	4	5	4	5	3	3	2	4	3	2	4	5	4	3	3	4	3	4	4	4	3	4	5	5	5	4	5	4	5	6	6	5	5	5	5	5	3	2	5	3	4	3	3	2	4	4	2	4	4	3	2	3	4	4	4	3	4	3	3	4	3	4	3	3	3	4	4	2	4	4	4	5	4	3	2	3	2	3	4	3	3	2	3	3	3	3	3	3	2	3	3	4	3	4	3	3	3	2	2	3	2	1	3	3	3	3	3	2	2	2	4	3	2	3	3	3	3	1	3	3	4	3	3	4	2	2	3	2	1	1	3	2	2	3	3	3	3	3	2	3	4	3	3	3	2	3	3	3	4	3	3	3	4	2	3	3	2	3	0	1	2	3	2	1	2	3	4	2	3	4	3	2	1	4	3	2	4	4	2	3	3	3	3	4	3	2	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	2	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	2	2	1	1	3	2	2	3	1	1	1	1	1	2	1	2	0	1	2	1	3	1	1	1	2	2	3	2	2	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	1	0	1	1	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique5	4	6	6	7	7	9	8	7	7	6	4	4	3	3	5	4	4	3	4	3	3	4	4	4	4	6	7	3	4	7	6	7	6	6	5	4	5	4	4	4	4	5	5	5	4	4	5	6	3	3	4	2	2	1	1	2	4	4	4	4	4	2	2	1	3	2	4	6	5	5	3	3	4	5	6	5	5	5	5	5	5	5	4	3	3	3	4	4	5	4	5	5	5	3	2	5	3	4	3	3	3	4	4	2	3	3	3	2	3	3	3	2	2	3	3	3	4	3	4	3	3	3	3	3	2	4	3	3	3	3	2	2	2	2	2	4	3	3	2	3	3	3	3	3	3	1	2	1	2	3	4	3	4	4	3	3	4	3	2	3	2	2	2	2	1	1	1	3	3	2	3	3	2	2	1	1	3	2	2	3	3	2	2	2	1	1	3	4	4	3	3	4	4	4	5	4	2	3	3	3	3	1	2	3	3	3	3	3	3	4	2	3	3	2	3	0	1	2	3	2	1	2	4	5	3	4	3	3	2	1	4	3	1	3	3	2	3	3	3	3	4	3	2	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	2	3	2	3	2	3	4	4	3	1	2	2	2	3	1	3	3	1	2	2	1	1	2	2	2	3	1	1	1	1	1	2	2	4	2	3	3	1	3	1	1	1	2	2	3	2	2	3	3	2	2	2	2	1	3	2	2	1	1	1	3	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	2	2	2	2	1	1	1	1	1	0	0	1	2	0	2	3	2	1	2	2	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique6	5	7	7	8	8	8	9	8	7	6	5	5	4	4	4	3	3	4	3	4	4	5	5	5	5	5	7	4	5	6	7	6	7	6	5	4	5	5	4	5	4	5	6	5	4	5	4	5	3	3	5	3	3	2	2	3	5	4	5	4	5	3	3	2	4	3	3	5	6	5	4	4	5	4	5	5	5	4	5	6	6	6	5	4	4	4	5	5	6	5	5	5	5	3	2	5	3	4	3	3	2	4	4	2	4	4	3	2	3	4	4	3	3	3	3	3	4	3	4	3	3	3	4	4	2	4	4	4	4	4	3	2	3	2	3	4	3	3	2	3	3	3	3	3	3	2	3	2	3	3	4	3	3	3	2	2	3	2	1	3	3	3	3	3	2	2	2	4	3	2	3	3	3	3	1	2	3	3	3	3	3	2	2	3	2	1	2	4	3	3	4	4	4	4	4	3	3	4	3	3	3	2	3	3	3	4	3	3	3	4	2	3	3	2	3	0	1	2	3	2	1	2	3	4	2	3	4	3	2	1	4	3	2	4	4	2	3	3	3	3	4	3	2	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	2	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	2	2	1	1	3	2	2	3	1	1	1	1	1	2	2	3	1	2	3	1	3	1	1	1	2	2	3	2	2	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	1	2	2	1	2	2	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique7	6	7	8	8	8	7	8	9	7	6	5	6	5	4	4	3	3	4	3	4	5	5	5	5	6	4	6	5	6	5	6	6	7	6	5	4	5	5	4	5	4	5	6	5	4	5	4	5	3	3	5	4	3	3	2	3	5	4	5	4	5	4	3	3	4	4	2	4	5	4	3	3	4	3	4	4	4	3	4	5	5	5	4	4	5	4	5	5	5	6	6	5	5	3	2	6	4	4	3	3	2	4	4	2	4	5	3	2	3	4	4	3	4	3	3	3	4	3	4	3	3	3	4	4	2	4	4	4	4	5	4	2	3	2	3	4	3	4	3	4	3	3	3	4	4	3	4	2	3	3	4	3	3	3	2	2	3	2	1	3	3	3	3	3	2	2	2	4	3	2	3	3	3	3	1	2	3	3	3	3	3	2	2	3	3	2	1	3	2	2	3	3	3	3	3	2	3	4	3	3	3	2	3	3	3	4	4	4	3	4	2	3	4	2	3	0	1	2	3	2	1	2	3	4	2	3	4	3	2	1	4	3	3	4	4	2	3	3	3	3	4	3	2	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	2	2	3	3	1	2	2	3	3	2	1	2	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	2	2	1	1	3	2	2	3	1	1	1	1	1	2	1	2	0	1	2	1	3	1	1	1	2	3	4	2	3	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	1	0	1	1	0	2	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Clique8	4	6	6	8	7	7	7	7	9	6	4	4	3	3	4	3	3	3	3	3	3	5	4	4	4	4	6	3	4	5	5	6	6	7	5	4	5	4	5	5	5	6	5	5	4	4	4	5	3	4	4	2	2	1	1	2	4	5	5	4	4	2	2	1	3	2	2	4	4	4	2	2	3	3	4	4	4	3	4	4	4	4	3	3	3	3	4	4	4	4	5	6	5	3	2	5	3	4	3	3	2	4	4	3	3	3	3	2	3	3	3	2	2	3	4	4	5	4	5	5	4	4	4	3	2	5	3	4	3	3	2	2	2	3	3	4	3	3	2	3	3	3	3	3	3	1	2	1	2	3	5	3	3	3	2	2	3	2	1	3	2	3	3	2	2	1	1	3	4	2	3	3	2	3	1	1	3	2	2	3	3	2	2	2	1	1	1	3	2	2	2	3	3	3	3	2	3	4	4	4	3	2	3	3	3	3	3	3	3	4	2	3	3	2	3	0	1	2	3	2	1	2	3	4	2	3	3	4	3	2	4	3	1	3	3	3	4	4	3	3	4	3	3	3	2	2	2	1	2	2	2	1	3	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	3	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	3	2	1	2	2	2	2	3	1	1	1	1	1	2	1	2	0	1	2	1	3	1	1	1	2	2	3	2	2	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0
Clique9	4	6	5	6	7	6	6	6	6	8	5	4	3	4	4	3	3	3	3	4	3	4	5	4	4	4	7	2	3	4	4	5	5	5	4	3	4	4	4	4	4	5	5	6	4	4	4	5	3	3	4	2	3	1	2	2	4	4	4	4	4	2	2	1	3	2	2	4	4	5	2	2	3	3	4	4	4	3	5	4	4	4	3	3	2	3	4	4	3	3	4	4	4	2	1	4	2	3	3	2	2	4	4	2	3	3	4	3	4	3	3	3	2	5	3	3	4	3	4	3	3	3	3	3	2	4	3	3	4	3	2	2	2	2	2	4	3	3	2	3	3	3	3	3	3	1	2	2	3	3	4	3	3	3	2	2	3	2	1	3	2	2	2	2	1	1	1	3	3	2	3	3	2	2	1	2	3	3	2	4	5	2	2	2	1	1	1	3	2	2	2	4	3	3	3	2	2	3	3	3	3	1	2	3	3	2	2	2	2	3	1	2	2	1	3	0	1	2	3	2	1	2	3	4	2	3	3	3	2	1	4	4	1	3	3	2	3	3	3	3	4	3	2	2	2	2	2	1	2	2	2	1	2	2	1	4	1	3	1	2	3	3	1	1	1	3	3	2	1	2	3	2	3	2	3	4	3	2	0	1	1	1	2	1	3	3	1	2	2	1	1	2	3	2	3	1	1	1	1	2	2	1	2	0	1	2	1	4	1	1	1	2	1	2	1	1	3	3	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	3	2	2	1	2	1	2	1	1	2	2	2	1	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	2	0	1	1	0	1	2	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0
