Clique0	6	5	4	2	3	4	4	3	3	3	2	2	2	3	2	2	2	3	2	1	2	2	1	2	2	3	1	1	2	1	2	2	3	2	3	1	0	0	0	2	1	1	2	1	0	0	0	0	1	1	2	2	0	0	1	1	1	0	1	1	0	0	0	0	2	1	1	1	1	2	2	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique1	5	6	5	2	3	3	3	3	4	4	3	3	3	4	3	3	3	4	2	1	2	2	1	2	2	3	1	1	2	1	2	2	2	1	2	1	0	0	0	2	1	1	3	2	1	1	1	1	2	2	2	2	0	0	1	1	1	0	1	1	0	0	0	0	2	1	1	1	1	1	1	1	0	0	0	2	2	1	1	1	1	2	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique2	4	5	6	1	2	3	3	4	3	3	2	4	4	3	2	4	4	3	3	2	2	2	1	1	2	3	2	2	3	1	1	1	2	1	1	1	0	0	0	2	1	2	2	3	2	2	2	2	3	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	2	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique3	2	2	1	5	1	1	1	1	2	3	4	1	2	3	1	0	1	2	0	0	1	2	3	3	2	1	0	0	0	0	1	2	0	0	1	3	1	1	1	2	3	2	1	0	1	0	0	0	0	1	1	3	1	0	1	2	2	0	1	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique4	3	3	2	1	5	2	2	2	1	1	1	0	0	2	2	2	1	2	1	0	0	0	0	1	1	1	2	2	3	3	3	3	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	3	1	0	0	1	1	1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique5	4	3	3	1	2	5	4	3	1	1	1	1	1	2	1	2	2	2	1	0	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique6	4	3	3	1	2	4	5	4	1	1	1	1	1	2	1	2	2	2	1	0	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	0	0	0	3	2	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique7	3	3	4	1	2	3	4	5	1	1	1	2	2	2	1	3	3	2	2	1	1	1	1	1	2	2	2	2	3	1	1	1	1	0	0	1	0	0	0	3	2	3	0	1	1	1	1	1	2	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique8	3	4	3	2	1	1	1	1	5	4	3	4	3	3	2	1	2	3	1	1	3	2	1	3	1	2	0	0	0	0	1	1	1	1	2	1	0	0	0	1	1	1	3	2	1	1	1	1	1	2	1	2	0	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	2	1	1	1	1	2	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique9	3	4	3	3	1	1	1	1	4	5	4	3	4	3	2	1	2	3	1	1	2	3	2	2	1	2	0	0	0	0	1	1	1	1	2	2	0	0	0	1	2	2	3	2	2	1	1	1	1	2	1	2	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	2	1	1	1	1	2	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
